codigo,nombre,precio_texto,precio_valor,moneda,imagen,imagen_url
SCL710-8,SIERRA CALADORA PROFESIONAL 710W LUSQTOFF ________,"$ 78,000",78.0,ARS,fotos/FRUTERO4-3.jpg,https://www.electrotecno.ar/fotos/FRUTERO4-3.jpg
SHL150-9,SET DE HERRAMIENTAS 150 PIEZAS RACING LUSQTOFF  __,"$ 245,000",245.0,ARS,fotos/FRUTERO4-3.jpg,https://www.electrotecno.ar/fotos/FRUTERO4-3.jpg
TFK-WMCFSL-,LAVARROPAS AUTOMATICO 6KG INVERTER TELEFUNKEN  - _,"$ 360,000",360.0,ARS,fotos/HM9020.jpg,https://www.electrotecno.ar/fotos/HM9020.jpg
TIL23-8KB--,KIT TALADRO ATORNILLADOR 12V LUSQTOFF ____________,"$ 75,000",75.0,ARS,fotos/HM9020.jpg,https://www.electrotecno.ar/fotos/HM9020.jpg
TPL710-8--,TALADRO PERCUTOR 710W LUSQTOFF ___________________,"$ 45,000",45.0,ARS,fotos/HM9020-2.jpg,https://www.electrotecno.ar/fotos/HM9020-2.jpg
Bwfi08w24ar,LAVARROPAS BGH AUTOMATICO 8KG INVERTER BWFE08W24AR,"$ 545,000",545.0,ARS,fotos/HM9020-2.jpg,https://www.electrotecno.ar/fotos/HM9020-2.jpg
32PHD6929,"SMART TV PHILIPS 32"" FULL HD SIST OP TITAN  ______","$ 190,000",190.0,ARS,fotos/HM9020-3.jpg,https://www.electrotecno.ar/fotos/HM9020-3.jpg
Bwfe08s24ar--,LAVARRROPAS AUTOMATICO 8KG BGH INVERTER SILVER ___,"$ 575,000",575.0,ARS,fotos/HM9020-3.jpg,https://www.electrotecno.ar/fotos/HM9020-3.jpg
JS-52,AURICULAR INALAMBRICO CON POWER BANK _____________,"$ 8,800",8.8,ARS,fotos/HQ-KING09.jpg,https://www.electrotecno.ar/fotos/HQ-KING09.jpg
SOLARCO10FUN,PILETA DE LONA 5500 LTS - SOL DE VERANO - ________,"$ 210,000",210.0,ARS,fotos/HQ-KING09.jpg,https://www.electrotecno.ar/fotos/HQ-KING09.jpg
2017A1N,BALANZA PERSONAL DIGITAL NEGRA ALIEN _____________,"$ 8,800",8.8,ARS,fotos/K-15-.jpg,https://www.electrotecno.ar/fotos/K-15-.jpg
A0715,STITCH COLECCION SWEET DREAMS peluche ____________,"$ 9,000",9.0,ARS,fotos/K-15-.jpg,https://www.electrotecno.ar/fotos/K-15-.jpg
AL-6407-,CONSOLA GAME STICK RETRO + PS2 - 10.000 JUEGOS ___,"$ 32,000",32.0,ARS,fotos/Kit3botellas.jpg,https://www.electrotecno.ar/fotos/Kit3botellas.jpg
AL-6411-,CONSOLA 2 EN 1 - GAME STICK + TV STICK  __________,"$ 38,000",38.0,ARS,fotos/Kit3botellas.jpg,https://www.electrotecno.ar/fotos/Kit3botellas.jpg
BALANZA-ALIEN-RO,BALANZA COMERCIAL ROJA CON TORRE TS-817 __________,"$ 43,000",43.0,ARS,fotos/Kit3botellas-2.jpg,https://www.electrotecno.ar/fotos/Kit3botellas-2.jpg
CT-804,Consola Portatil Sega 16 Bits Con Juegos + Cartuch,"$ 21,000",21.0,ARS,fotos/Kit3botellas-2.jpg,https://www.electrotecno.ar/fotos/Kit3botellas-2.jpg
HIDRO-ALIEN,HIDROLAVADORA PORTATIL INALAMBRICA  RY1000 _______,"$ 34,500",34.5,ARS,fotos/Kit3botellas-3.jpg,https://www.electrotecno.ar/fotos/Kit3botellas-3.jpg
PHL-17218,PILETA INFABLE 95 LTS - 3 ANILLOS DE COLORES  ____,"$ 13,500",13.5,ARS,fotos/Kit3botellas-3.jpg,https://www.electrotecno.ar/fotos/Kit3botellas-3.jpg
PHL-17544,PILETA INFLABLE 425 LTS ANIMALES MARINOS _________,"$ 24,000",24.0,ARS,fotos/KJH-PE10M.jpg,https://www.electrotecno.ar/fotos/KJH-PE10M.jpg
PHL-27131,COLCHONETA INFABLE CON APOYA VASO ________________,"$ 13,000",13.0,ARS,fotos/KJH-PE10M.jpg,https://www.electrotecno.ar/fotos/KJH-PE10M.jpg
